titles,years,genres,imdb,runtime,description,stars,votes,type,original
Little Things,2016,"Comedy, Romance",8.2,16 min,"A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Bengaluru.","Dhruv Sehgal, Mithila Palkar, Abhishek Bhalerao, Rishi Deshpande","4,042",TV Show,Netflix
Lilyhammer,2012,"Comedy, Crime, Drama",8,45 min,A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates.,"Steven Van Zandt, Trond Fausa, Steinar Sagen, Marian Saastad Ottesen","25,821",TV Show,Netflix
Levius,2019,"Animation, Action, Sci-Fi",7.1,25 min,"A young man whose parents became casualties of war. He is taken in by his uncle Zack, and it is there that Levius begins to immerse himself in the world of metal boxing as if led by fate ... See full summary »","Sean Burgos, Zach Aguilar, Todd Haberkorn, Julia McIlvaine",357,TV Show,Netflix
Lenox Hill,2020,Documentary,8.7,,"An intimate look at the lives of four doctors - two brain surgeons, an emergency room physician, and a Chief Resident OBGYN - as they navigate the highs and lows of working at the renowned Lenox Hill Hospital in New York City.","John Boockvar, David Langer, Amanda Little-Richardson, Mirtha Macri","1,570",TV Show,Netflix
Leila,2019,"Drama, Sci-Fi",4.7,48 min,"In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago.","Huma Qureshi, Rahul Khanna, Siddharth, Leysha Mange","7,582",TV Show,Netflix
Lego Friends: The Power of Friendship,2016,Animation,5.9,23 min,"Five best friends face adventures side by side in their hometown. Zany antics, love and missteps are better with friends.","Rachelle Heger, Alexa Kahn, Erica Mendez, Marianne Miller",22,TV Show,Netflix
Lego Elves: Secrets of Elvendale,2017,"Animation, Fantasy",6.8,24 min,"When the Goblin King kidnaps her sister, Emily Jones and her Elf friends head deep into a magical forest to save her. Based on the popular web series.","Ashleigh Ball, Erin Mathews, Kyle Rideout, Riley Murdock",121,TV Show,Netflix
Lego Bionicle: The Journey to One,2016,"Animation, Action, Adventure",5.6,22 min,"Six heroes, the Toa, fight against the evil Makuta's forces which are threatening the beautiful island of Okoto.","William Jordan, Nolan Balzer, Paolo Bryant, Jacqui Fox",138,TV Show,Netflix
Legend Quest: Masters of Myth,2019,Animation,8.1,,"When mythical creatures come to life, it's up to Leo, Teodora, Don Andrés and Alebrije -- super-secret monster hunters to save the day.","Johnny Rose, Annemarie Blanco, Paul Tei, Oscar Cheda",91,TV Show,Netflix
Legend Quest,2017,"Animation, Adventure, Comedy",7.4,,"In 19th Century America, 12 year old Leo and his ghost companions defend their world against supernatural threats.","Johnny Rose, Annemarie Blanco, Oscar Cheda, Paul Tei",391,TV Show,Netflix
Last Chance U,2016,"Documentary, Sport",8.5,55 min,"Intense look inside the world of junior college football, chronicling the stories of players and coaches in the classroom and on the field.","Ron Ollie, John III Franklin, Buddy Stephens, Brittany Wagner","5,869",TV Show,Netflix
Larva Island,2018,"Animation, Comedy",6.3,,"Stranded on a tropical island, two goofy larva buddies find slapstick fun in everything from discovering food to meeting new animal friends.","Eddy Lee, Erica Schroeder, Tom Wayland",310,TV Show,Netflix
Larry Charles' Dangerous World of Comedy,2019,"Documentary, Comedy",7.3,60 min,"Legendary comedy writer and director Larry Charles travels the world in search of humor in the most unusual, unexpected and dangerous places.","Larry Charles, Adrianne Chalepah, Sammy Halabi, Ahmad Rawf",498,TV Show,Netflix
Lady Dynamite,2016,Comedy,7.4,30 min,"Series is based on what Maria has accepted to be ""her life."" The occasionally surreal episodes, refracted across multiple periods of the actor/comedian's life, tell the story of a woman who loses - and then finds - herself.","Maria Bamford, Fred Melamed, Mary Kay Place, Ana Gasteyer","3,219",TV Show,Netflix
Ladies Up,2020,Comedy,4.3,,"The year is 2132 - the turtle flu has spread to every corner of earth. A magical yet dangerous journey begins with the friendship of 4 women. Unbeknownst to all the woman but ""knownst"" to one of them - danger lies much closer than it seems","Supriya Joshi, Niveditha Prakasam, Prashasti Singh, Kaneez Surka",175,TV Show,Netflix
La Révolution,2020,"Action, Adventure, Drama",6.5,,"In a reimagined history of the French Revolution, the guillotine's future inventor uncovers a disease that drives the aristocracy to murder commoners.","Marilou Aussilloux, Coline Beal, Amir El Kacem, Lionel Erdogan","2,954",TV Show,Netflix
Kulipari: Dream Walker,2018,"Animation, Action, Fantasy",7.2,,"Now the Blue Sky King, Darel must lead a rescue mission to save a Dream Walker -- leaving the village under the protection of the Kulipari youth.","Mark Hamill, Josh Keaton, Phil LaMarr, Candi Milo",62,TV Show,Netflix
Kulipari: An Army of Frogs,2016,"Animation, Action, Fantasy",6.9,20 min,Anthropomorphic frogs battle the forces of darkness.,"Charlie Adler, Lacey Chabert, Keith David, Josh Keaton",218,TV Show,Netflix
Kong: King of the Apes,2016,"Animation, Action, Adventure",5.7,,"Kong is saved as a young ape by a young boy, Lucas. Lucas and his family raise kong but Lucas' twin brother is jealous and tries to get rid of Kong.","Viv Leacock, Lee Tockar, Vincent Tong, Kathleen Barr",266,TV Show,Netflix
Knights of the Zodiac: Saint Seiya,2019,"Animation, Action, Adventure",4.5,,A digital remake from the Japanese anime classic Knights of the Zodiac (1986).,"Bryson Baugus, Marty Fleck, Emily Neves, Ty Mahany","1,571",TV Show,Netflix
Kissing Game,2020,"Drama, Mystery, Thriller",6.4,,"In a Brazilian cattle-ranching town, adolescents panic when they're threatened by the outbreak of a contagious infection transmitted by kissing.","Caio Horowicz, Iza Moreira, Michel Joelsas, Denise Fraga",503,TV Show,Netflix
Kipo and the Age of Wonderbeasts,2020,"Animation, Action, Adventure",8.4,24 min,A girl explores the possibilities in a post-apocalyptic world.,"Karen Fukuhara, Sydney Mikayla, Dee Bradley Baker, Deon Cole","2,724",TV Show,Netflix
Kipo and the Age of Wonderbeasts,2020,"Animation, Action, Adventure",8.4,24 min,A girl explores the possibilities in a post-apocalyptic world.,"Karen Fukuhara, Sydney Mikayla, Dee Bradley Baker, Deon Cole","2,724",TV Show,Netflix
Kingdom,2019,"Action, Drama, Horror",8.4,45 min,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","Ji-Hoon Ju, Doona Bae, Kim Sungkyu, Hye-jun Kim","27,412",TV Show,Netflix
Killer Ratings,2019,"Documentary, Crime",7.8,,"The true-life story of Brazilian TV host Wallace Souza, who was accused of literally killing for ratings, and using his crime TV show to cover up the grizzly truth.",,"1,130",TV Show,Netflix
Kevin Hart: Don't F**k This Up,2019,Documentary,6.5,30 min,Comedian Kevin Hart reflects on the events from the past year that have shaped his life.,"Kevin Hart, Art Arreola, Dave Becky, Wayne Brown","1,636",TV Show,Netflix
Kengan Ashura,2019,"Animation, Action",8,24 min,"A timid old man is summoned by his chairman to become the manager of Tokita Ohma, a highly skilled gladiator who only cares about fighting and winning in the Kengan matches.","Kaiji Tang, Michael C. Pizzuto, Keith Silverstein, Erika Harlacher","2,907",TV Show,Netflix
Kazoops!,2016,"Animation, Comedy, Family",7.2,7 min,"Who says the world works the way grown ups think it should? Things can always be different if you just imagine. Monty is a spirited boy of six, with a vivid imagination and his best friend ... See full summary »","Teresa Gallagher, Reece Pockney, Scott Langley, Alex Babic",103,TV Show,Netflix
Kantaro: The Sweet Tooth Salaryman,2017,Drama,7.7,,A stoic book salesman leads a double life as he plays hooky from work to write his sweets blog. In his journey to attain a glimpse of sweets heaven Kantaro samples various Japanese and Western sweets.,"Matsuya Onoe, Ren Ishikawa, Sarutoki Minagawa, Hiroyuki Onoue",594,TV Show,Netflix
Justin Time,2011,"Animation, Adventure, Family",6.8,22 min,"Justin Time is a Canadian animated television series for pre-school aged children, created by Brandon James Scott. The show airs on Disney Junior (both English and French) in Canada, the ... See full summary »","Jenna Warren, Scott McCord, Gage Munroe, Drew Davis",172,TV Show,Netflix
Jurassic World: Camp Cretaceous,2020,"Animation, Action, Adventure",7.4,24 min,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,"Paul-Mikél Williams, Sean Giambrone, Kausar Mohammed, Jenna Ortega","2,575",TV Show,Netflix
Julie's Greenroom,2017,"Comedy, Family, Musical",8.4,27 min,Ms. Julie (Dame Julie Andrews) teaches performing arts workshops to a group of puppet children and a duck with the help of her assistant Gus (Giullian Yao Gioiello) and celebrity guests at her Wellspring Center for the Performing Arts.,"Julie Andrews, Giullian Yao Gioiello, Jennifer Barnhart, Tyler Bunch",292,TV Show,Netflix
Julie and the Phantoms,2020,"Comedy, Family, Fantasy",8.4,,"Julie is a teenage girl who finds her passion for music and life with the help of a high -concept band of teen boys (The Phantoms) who have been dead for 25 years. Julie, in turn, helps them become the band they were never able to be.","Madison Reyes, Charlie Gillespie, Owen Joyner, Jeremy Shada","4,116",TV Show,Netflix
Ju-on: Origins,2020,"Horror, Mystery",6.1,30 min,"The legendary horror franchise that is “Ju-On” is set to once again shake the world as Netflix Japan sets to release its first-ever horror of Netflix Japan Original, ""JU-ON: Origins.""","Yoshiyoshi Arakawa, Yuina Kuroshima, Seiko Iwaidô, Dorah Fine","3,297",TV Show,Netflix
Jinn,2019,"Drama, Fantasy, Horror",3.5,30 min,An Arabic-language coming-of-age series with elements of the supernatural.,"Salma Malhas, Sultan Alkhail, Hamzeh Okab, Aysha Shahaltough","9,359",TV Show,Netflix
Jimmy: The True Story of a True Idiot,2018,Comedy,6.6,,"In the 1980s, a simple-minded fool named Hideaki meets comedy legend Sanma, changes his name to Jimmy and becomes a comedic superstar.","Akiyoshi Nakao, Tetsuji Tamayama, Hiroyuki Onoue, Seiji Rokkaku",51,TV Show,Netflix
Jessica Jones,2015,"Action, Crime, Drama",7.9,56 min,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.","Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss","190,542",TV Show,Netflix
Japan Sinks: 2020,2020,"Animation, Adventure, Drama",6.5,,"An ordinary family is put to the test as a series of massive earthquakes throw Japan into total mayhem. From director Masaaki Yuasa (Devilman Crybaby), the first anime adaptation of the bestselling science fiction novel by Sakyo Komatsu.","Ryan Bartley, Billy Kametz, Faye Mata, Grace Lynn Kung","1,924",TV Show,Netflix
Jamtara: Sabka Number Ayega,2020,Crime,7.3,29 min,"A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme -- and a cop wants to fight it.","Amit Sial, Dibyendu Bhattacharya, Aksha Pardasany, Sparsh Srivastav","4,004",TV Show,Netflix
Jailbirds,2019,Reality-TV,7.2,45 min,"At the Sacramento County Jail, incarcerated women fight the power and one another as they try to make the best of life - and love - on the inside.","Gaylon Beason, Taylor Coatney, Andrea Gunderson, Sgt. Hernandez",809,TV Show,Netflix
Jack Whitehall: Travels with My Father,2017,"Documentary, Comedy",7.7,30 min,"Follows Jack Whitehall as he embarks on the trip of a lifetime with his father, Michael. The two set off on a journey across South East Asia to partake in a series of adventures, mishaps and escapades with two very different perspectives.","Jack Whitehall, Michael Whitehall, Hilary Whitehall, Steven Seagal","3,826",TV Show,Netflix
J-Style Trip,2020,Reality-TV,5.4,,Add a Plot,"Jay Chou, Funky Tu, Chen Kuan-Lin, Will Tsai",89,TV Show,Netflix
Izzy's Koala World,2020,"Documentary, Family",8.7,,Follow 11-year-old Izzy and her veterinarian mother as they rescue koalas and form remarkable friendships with animals on their Australian island.,Izzy Bee,84,TV Show,Netflix
It's Bruno!,2019,Comedy,7.5,15 min,"An old-school Brooklyn native devotes his days to caring for his adorable dog, Bruno, and making sure the neighbors show his pooch the proper respect.","Solvan Naim, Bruno, Sam Eliad, Donnell Rawlings","2,410",TV Show,Netflix
Iron Fist,2017,"Action, Adventure, Crime",6.5,55 min,A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.,"Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey","112,499",TV Show,Netflix
Brotherhood,2019,"Crime, Drama, Thriller",7.6,50 min,A hard-working lawyer discovers that her missing brother has been jailed for years and is a leader of an ascendant criminal faction.,"Naruna Costa, Danilo Grangheia, Hermila Guedes, Wesley Guimarães",862,TV Show,Netflix
Into the Night,2020,"Drama, Sci-Fi, Thriller",7.1,,"When radiation from the sun causes a global disaster on Earth, survivors on an overnight flight from Brussels race from city to city trying to stay ahead of the sun's rays by remaining in the cover of night.","Pauline Etienne, Laurent Capelluto, Mehmet Kurtulus, Babetida Sadjo","18,906",TV Show,Netflix
Interior Design Masters,2019,Game-Show,6.5,44 min,Interior designers compete for a life-changing design contract and opportunity to work with a prestigious commercial client.,"Fearne Cotton, Michelle Ogundehin, Matthew Williamson, Thomasina Miers",824,TV Show,Netflix
Inside the World's Toughest Prisons,2016,Documentary,7,47 min,"Imagine being in jail. Now imagine living in a foreign country. Scary? Paul Connelly takes you inside these jails. He shows what living conditions are for the inmates, as well as the guards. You'll never look at prison the same.","Raphael Rowe, Paul Connelly, Robin","1,623",TV Show,Netflix
Inside the Real Narcos,2018,"Documentary, Crime",7.6,45 min,"As the name suggests, a former special agent delves into the lives of the real narcos performing the drug trade in Mexico, Colombia and Peru",Jason Fox,545,TV Show,Netflix
Insatiable,2018,"Comedy, Drama, Thriller",6.5,45 min,"A disgraced, dissatisfied civil lawyer-turned-beauty pageant coach takes on a vengeful, bullied teenager as his client and has no idea what he's about to unleash upon the world.","Dallas Roberts, Debby Ryan, Christopher Gorham, Kimmy Shields","21,792",TV Show,Netflix
Ingobernable,2017,"Crime, Drama, Mystery",7.2,40 min,"The first lady of Mexico is a woman of conviction and ideals. But when she loses faith in her husband, she'll need all her strength to uncover the truth.","Kate del Castillo, Leah Allers, Eréndira Ibarra, Alberto Guerra","2,542",TV Show,Netflix
Indian Matchmaking,2020,"Reality-TV, Romance",6.2,,"Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era.","Sima Taparia, Vyasar M. Ganesan, Pradhyuman Maloo, Aparna Shewakramani","2,377",TV Show,Netflix
Immigration Nation,2020,Documentary,7.4,,A documentary looking inside the world of immigration enforcement under the Trump administration.,,836,TV Show,Netflix
I'm with the Band: Nasty Cherry,2019,"Documentary, Music",,,An unscripted docu-series following a musical artist or band and their entourage as they prepare for and embark on tour.,"Gabrielle Bechtel, Chloe Chaidez, Nasty Cherry, Debbie Knox-Hewson",122,TV Show,Netflix
I Think You Should Leave with Tim Robinson,2019,Comedy,7.7,16 min,"In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.","Tim Robinson, Matt Knudsen, Sam Richardson, Matthew J Cates","5,227",TV Show,Netflix
I Am a Killer,2018,"Documentary, Crime",7.5,52 min,"Follows Death Row inmates, who tell the story of how they ended up there.","Swaylee Loughnane, Reece Putinas, David Galea, Deandra Buchanan","2,903",TV Show,Netflix
I Am Not Okay with This,2020,Comedy,7.6,30 min,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her.","Sophia Lillis, Wyatt Oleff, Sofia Bryant, Kathleen Rose Perkins","36,783",TV Show,Netflix
I Am A Killer: Released,2020,"Documentary, Crime",5.2,,"Three-part docuseries following Dale Wayne Sigler, a murderer, as he is released from prison after 30 years behind bars.",Tommy LeNoir,491,TV Show,Netflix
Hyperdrive,2019,Reality-TV,8.1,29 min,Tournament series where drivers from around the world compete on one of the largest automotive obstacle courses ever made.,"Stacey-Lee May, Michael Bisping, Lindsay Czarniak, Rutledge Wood","2,133",TV Show,Netflix
Huge in France,2019,Comedy,6.8,30 min,Gad is a hugely famous comedian...In France.,"Gad Elmaleh, Scott Keiji Takeda, Jordan Ver Hoeve, Erinn Hayes","2,317",TV Show,Netflix
How to Sell Drugs Online (Fast),2019,"Comedy, Crime, Drama",7.9,30 min,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung","18,823",TV Show,Netflix
House of Cards,2013,Drama,8.7,51 min,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara","459,712",TV Show,Netflix
Hoops,2020,"Animation, Comedy, Sport",6,,"Centers on a hot-headed, foul-mouthed high school basketball coach who thinks turning around his godawful team will take him to the ""big leagues.""","Jake Johnson, Ron Funches, Cleo King, Natasha Leggero","3,437",TV Show,Netflix
Homemade,2020,Drama,6,138 min,"Confined at home as a consequence of the COVID-19 outbreak, filmmakers created personal, moving stories that capture our shared experience of life in quarantine.","Christopher Abbott, Kumiko Kaur Chadha Berges, Cate Blanchett, Javier Cámara",511,TV Show,Netflix
Home: Adventures with Tip & Oh,2016,"Animation, Short, Adventure",5.9,23 min,"Picking up where the 2015 film left off, this coming-of-age buddy comedy follows fearless Tip and overenthusiastic Oh, as they navigate the crazily combined human and alien culture they live in, finding adventure everywhere they go.","Rachel Crow, Mark Whitten, Ana Ortiz, Ron Funches",492,TV Show,Netflix
Home for Christmas,2019,"Comedy, Drama, Romance",7.6,29 min,The constant comments on single life of 30 year old Johanne and society's expectations of the perfect family Christmas finally gets to her. Johanne starts a 24 day hunt for a partner to bring home for Christmas.,"Ida Elise Broch, Eric Curtis Johnson, Gabrielle Leithaug, Mads Sjøgård Pettersen","5,165",TV Show,Netflix
Home Game,2020,"Documentary, Sport",7.1,,"This docuseries profiles unique and dangerous traditional sports from around the world, as well as the communities and cultures where they thrive.","Mark Strong, Guyga, Riccardo Lo Bue, Melis Murataliyev",567,TV Show,Netflix
History 101,2020,History,6.7,22 min,It is a new type of history show for a new type of audience: Big History delivered in an unadulterated hit of premium archive and jaw-dropping infographics.,"Frankie Corzo, Natalie Silverman","2,777",TV Show,Netflix
Historical Roasts,2019,Comedy,5.3,30 min,"""Roastmaster General"" Jeff Ross and a slew of guest stars poke fun at major historical figures while also honoring their enduring impact on the world.","Jeffrey Ross, Jaleel White, James Adomian, Rachel Feinstein","1,505",TV Show,Netflix
Hip-Hop Evolution,2016,"Documentary, Music",8.4,90 min,"MC and journalist Shad Kabango meets with Hip-Hop's biggest stars to retrace how Hip-Hop became the world's most popular music, but realizes that Hip-Hop's true legacy is something much more profound.","Shad, LL Cool J, Alonzo Williams, Melle Mel","4,872",TV Show,Netflix
Hilda,2018,"Animation, Adventure, Comedy",8.6,24 min,"A fearless blue haired girl named Hilda, leaves the forest to go to town and find new friends, great adventures, magic and mysterious creatures who might be dangerous.","Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard","5,795",TV Show,Netflix
High Seas,2019,"Crime, Drama, Mystery",6.8,50 min,Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín","5,547",TV Show,Netflix
Hero Mask,2018,"Animation, Action, Crime",6.1,25 min,Detective James Blood investigates a string of grisly crimes all involving a mysterious mask.,"Greg Chun, Landon McDonald, Cam Clarke, Brad Venable",520,TV Show,Netflix
Hemlock Grove,2013,"Drama, Horror, Mystery",7.1,46 min,"Secrets are just part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.","Famke Janssen, Bill Skarsgård, Landon Liboiron, Joel de la Fuente","36,509",TV Show,Netflix
Hello Ninja,2019,"Animation, Action, Adventure",6.9,,"When Wesley puts his hands together, bows to his reflection and says the words, ""Hello, Ninja"" his surroundings instantly transform into an enchanting Ninja world.","Lukas Engel, Mayumi Yoshida, Zoey Siewert, Travis Turner",77,TV Show,Netflix
Haunted,2018,"Horror, Reality-TV",4.5,24 min,"A chilling glimpse into the first-person accounts from people who have witnessed horrifying, peculiar, extraordinary supernatural events and other unexplained phenomena that continue to haunt them.","Vanda Chaloupková, Hana Baronová, Vojtech Hýzdal, Janek Gregor","2,244",TV Show,Netflix
Haters Back Off!,2016,"Comedy, Drama, Family",6,30 min,"The odd ball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise who continues to fail upward by the power of her belief that she was born famous, it's just no one knows it yet.","Colleen Ballinger, Angela Kinsey, Francesca Reale, Erik Stocklin","6,714",TV Show,Netflix
Harvey Girls Forever!,2018,"Animation, Short, Adventure",6.2,23 min,"Animated series targeted at girls ages 9 through 12, where kids do whatever they want in their favorite place --- the one and only Harvey Street.","Lauren Lapkus, Stephanie Lemelin, Kelly McCreary, Grey Griffin",195,TV Show,Netflix
Happy Jail,2019,Documentary,7,,"The Philippine jail known for a viral Michael Jackson dance video comes under the management of an ex-convict, sparking controversy and criticism.",,205,TV Show,Netflix
Hache,2019,Drama,6.4,50 min,"Inspired by real events, Hache is the story of Helena, a woman catapulted to the heroin trafficking business in the Barcelona of the 60s.","Adriana Ugarte, Javier Rey, Eduardo Noriega, Marc Martínez",847,TV Show,Netflix
H2O: Mermaid Adventures,2015,"Animation, Adventure, Comedy",5.9,25 min,When three normal teenage girls stumble upon an ancient cave they undergo a transformation that will change their lives forever.,"Sonja Ball, Holly Gauthier-Frankel, Thor Bishopric, Angela Galuppo",128,TV Show,Netflix
Gypsy,2017,"Drama, Thriller",6.9,51 min,Therapist Jean Holloway becomes too immersed in the lives of her patients.,"Naomi Watts, Billy Crudup, Sophie Cookson, Karl Glusman","13,556",TV Show,Netflix
Greenhouse Academy,2017,Drama,7,25 min,"Almost a year after their astronaut mother's tragic death, brother and sister Hayley and Alex Woods begin to attend an elite boarding school for future leaders. However they soon realise that everything is not as it seems.","Ariel Mortman, Finn Roberts, Chris O'Neal, Cinthya Carmona","4,645",TV Show,Netflix
Green Frontier,2019,"Crime, Thriller",7.3,41 min,"When a young Bogotá-based detective gets drawn into the jungle to investigate four femicides, she uncovers magic, an evil plot and her own true origins.","Nelson Camayo, Angela Cano, Juana del Rio, Miguel Dionisio Ramos","1,928",TV Show,Netflix
Green Eggs and Ham,2019,"Animation, Adventure, Comedy",8.2,26 min,"An animated series based on the popular Dr. Seuss story ""Green Eggs and Ham.""","Michael Douglas, Adam Devine, Jillian Bell, Ilana Glazer","1,710",TV Show,Netflix
Grand Army,2020,Drama,7.3,,"The drama series tells the story of five high school students as they struggle with sexual, racial and economic politics and fight to succeed and become somebody.","Odessa A’zion, Odley Jean, Amir Bageria, Maliq Johnson","1,720",TV Show,Netflix
Grace and Frankie,2015,Comedy,8.3,30 min,"Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.","Lily Tomlin, Jane Fonda, Sam Waterston, Martin Sheen","37,619",TV Show,Netflix
"Good Morning, Verônica",2020,"Crime, Drama, Mystery",7.6,,"After witnessing a suicide, an unobtrusive police clerk decides to investigate two neglected cases on her own, both involving abused women.","Tainá Müller, Camila Morgado, Eduardo Moscovis, Antônio Grassi","1,534",TV Show,Netflix
Good Morning Call,2016,"Comedy, Romance",7.7,48 min,"Nao rents her dream apartment, but things are not what they seem when she finds out she will be sharing it with high school heart throb Uehara.","Haruka Fukuhara, Shun'ya Shiraishi, Moe Arai, Shûgo Nagashima","2,588",TV Show,Netflix
Go! Live Your Way,2019,"Comedy, Musical, Romance",7,40 min,"Fiercely talented Mia receives a scholarship to a prestigious dance academy, where she soon clashes with the owner's fashionable and popular daughter.","Rebecca Davis, Marley Estrada, Marina Gridley, Alyssa LeBarron",373,TV Show,Netflix
Go! Go! Cory Carson,2020,"Animation, Family",8.1,,"Based on the Go. Go. toy line from VTech, children's series follows the adventures of Cory Carson.","Alan C. Lim, Paul Killam, Maisie Benson, Kerry Gudjohnsen",124,TV Show,Netflix
Glitch Techs,2020,"Animation, Action, Family",7.8,25 min,Game-world monsters are wreaking real-world havoc. Here comes tech support.,"Ricardo Hurtado, Monica Ray, Dan Milano, Rachael Russakoff",556,TV Show,Netflix
Glitch,2015,"Drama, Sci-Fi",7.4,45 min,Six people return from the dead with no memory and attempt to unveil what brought them to the grave in the first place.,"Patrick Brammall, Emma Booth, Sean Keenan, Hannah Monson","14,293",TV Show,Netflix
Girls from Ipanema,2019,"Drama, Romance",7.9,45 min,"After the disappearance of her husband, Maria Luiza opens a Bossa Nova club in defiance of her normally conservative demeanor.","Maria Casadevall, Pathy Dejesus, Mel Lisboa, Leandro Lima","2,610",TV Show,Netflix
Girls Incarcerated: Young and Locked Up,2018,"Documentary, Reality-TV, Talk-Show",7.3,45 min,A documentary show about troubled girls who are are juvenile delinquents in Madison Juvenile Center,,884,TV Show,Netflix
Girlboss,2017,Comedy,7,26 min,"Sophia, a misfit, discovers a passion for fashion, becoming an unlikely businesswoman in the process. As her business grows, however, she has to learn to cope with life as her own boss. This show is loosely based on the true story of Nasty Gal Founder, Sophia Amoruso.","Britt Robertson, Ellie Reed, Johnny Simmons, Alphonso McAuley","15,076",TV Show,Netflix
Giri/Haji,2019,"Crime, Drama, Mystery",7.9,,"A detective from Tokyo scours London for his missing brother, who's been involved with the Yakuza and accused of murder.","Takehiro Hira, Sophia Brown, Charlie Creed-Miles, Jamie Draven","8,831",TV Show,Netflix
Ghost in the Shell SAC_2045,2020,"Animation, Action, Sci-Fi",6.3,25 min,"Hired as a mercenary unit, the former members of Japan's elite Section 9 are faced with the sudden appearance of ""Post-Human,"" a being with tremendous intelligence and physical capabilities.","Richard Epcar, Michael McCarty, Melissa Fahn, Crispin Freeman","1,374",TV Show,Netflix
Get Organized with the Home Edit,2020,Reality-TV,5.1,30 min,Organizers Clea Shearer and Joanna Teplin of The Home Edit conquer clutter and transform lives. Reese Witherspoon and Molly Sims coproduce.,"Clea Shearer, Joanna Teplin, Jordana Brewster, Kane Brown",626,TV Show,Netflix
Gentefied,2020,Comedy,7.4,,"Based on the digital series of the same title, Gentefied centers on three cousins who band together to keep their Grandfather's popular Boyle Heights taco shop in business as the ... See full summary »","Joaquín Cosio, Joseph Julian Soria, Karrie Martin, Carlos Santos","1,510",TV Show,Netflix
Game On! A Comedy Crossover Event,2020,"Comedy, Family",5.8,30 min,"Worlds collide in this special event featuring familiar faces, surprise cameos and stories of spirited competition from four different comedy series.","Gabriel Iglesias, Tia Mowry-Hardrict, Paul Wight, Anthony Alabi",119,TV Show,Netflix
GLOW,2017,"Comedy, Drama, Sport",8,35 min,A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s.,"Alison Brie, Marc Maron, Betty Gilpin, Britt Baron","39,117",TV Show,Netflix
Fuller House,2016,"Comedy, Family",6.8,30 min,"In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller.","Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion","24,395",TV Show,Netflix
Frontier,2016,"Adventure, Drama, History",7.2,60 min,"Follows Declan Harp, a half-Irish/half Cree Native-Canadian outlaw who is campaigning to breach the Hudson's Bay Company's monopoly on the fur trade in Canada.","Jason Momoa, Landon Liboiron, Zoe Boyle, Greg Bryk","16,295",TV Show,Netflix
Friends from College,2017,"Comedy, Drama",6.9,30 min,"Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.","Keegan-Michael Key, Cobie Smulders, Annie Parisse, Nat Faxon","17,566",TV Show,Netflix
Freud,2020,"Biography, Crime, History",6.5,55 min,"Young Czech-Austrian psychoanalyst, Sigmund Freud, investigates a murder conspiracy in 1880's Vienna.","Robert Finster, Ella Rumpf, Georg Friedrich, Christoph F. Krutzler","9,100",TV Show,Netflix
Free Rein,2017,"Action, Adventure, Comedy",7.3,26 min,"After befriending a mysterious horse during a summer in the English countryside, 15-year-old Zoe finds the strength to deal with issues she faces.","Freddy Carter, Jaylen Barron, Manpreet Bambra, Celine Buckens","1,562",TV Show,Netflix
